订单号,订单状态,支付时间,发货时间,确认收货时间,订单成交时间,承诺发货时间,商品名称,商品ID,商家编码-商品维度,商家编码-规格维度,商品规格,规格id,规格名称,样式ID,商品一级类目,商品二级类目,商品三级类目,商品四级类目,商品数量(件),商品单价(元),商品总价(元),用户实付金额(元),商家实收金额(元),邮费(元),店铺优惠折扣(元),平台优惠折扣(元),多多支付立减金额(元),拼多多优惠券(元),平台技术服务费(元),上门安装费(元),送货入户费(元),送货入户并安装费(元),退款金额(元),退款原因,退款类型,售后状态,省,市,订单来源,是否直播间成交,是否直播间引导成交,是否门店自提,门店名称,支付方式,是否分期,分期期数,手续费承担方,是否预售,是否顺丰加价,是否抽奖或0元试用,是否社区团购,是否无痕发货,是否节能补贴,快递公司,快递单号,配送状态,集运类型
2705000496,已发货,2026-04-16 04:11:40,2026-04-16 17:00:34,2026-04-19,2026-04-16 14:04:16,2026-04-18,有机红枣夹核桃500g,PD00007,SP00007,SKU016,1000g礼盒,SKU016,1000g礼盒,ST016,食品生鲜,坚果零食,红枣,夹心红枣,5,69.00,345.00,257.52,255.97,0.00,28.09,24.58,17.56,17.25,1.55,0.00,0.00,0.00,0.00,,,,福建省,厦门,APP-iOS,否,否,否,,微信支付,否,,,否,否,否,否,否,否,中通快递,YT67501645715,运输中,
2705000082,已完成,2026-04-16 08:44:28,2026-04-17 01:22:41,2026-04-21,2026-04-16 17:47:56,2026-04-18,男士运动休闲鞋透气款,PD00005,SP00005,SKU011,40码-黑色,SKU011,40码-黑色,ST011,运动户外,运动鞋服,运动鞋,跑步鞋,2,119.00,238.00,200.83,199.63,0.00,14.87,13.01,9.29,0.00,1.20,0.00,0.00,0.00,0.00,,,,河南省,郑州,小程序,否,否,否,,花呗分期,否,3,,否,否,否,否,否,否,邮政快递,YT71971643740,派送中,
2705000422,已完成,2026-04-16 12:15:19,2026-04-19 10:20:49,2026-04-26,2026-04-16 19:23:52,2026-04-18,无线蓝牙耳机Pro版,PD00002,SP00002,SKU004,黑色标准版,SKU004,黑色标准版,ST004,数码电器,影音设备,耳机,无线耳机,2,129.00,258.00,223.39,222.05,0.00,8.68,7.60,5.43,12.90,1.34,0.00,0.00,0.00,0.00,,,,天津市,天津,H5,否,否,否,,支付宝,否,,买家,否,否,否,否,否,否,韵达快递,YT85797632442,已签收,
2705000058,已完成,2026-04-16 19:34:00,2026-04-18 14:07:05,2026-04-25,2026-04-16 13:41:36,2026-04-18,桌面手机支架可折叠,PD00008,SP00008,SKU017,基础款-黑色,SKU017,基础款-黑色,ST017,数码电器,手机配件,支架,桌面支架,1,19.90,19.90,18.84,18.65,0.00,0.42,0.37,0.27,0.00,0.19,0.00,0.00,0.00,0.00,,,,浙江省,杭州,APP-Android,否,否,否,,多多支付,否,,,是,否,否,否,否,否,顺丰速运,YT69065624291,已签收,
2705000446,已付款,2026-04-16 21:53:37,2026-04-18 13:54:24,2026-04-22,2026-04-16 06:29:44,2026-04-18,桌面手机支架可折叠,PD00008,SP00008,SKU018,升级款-银色,SKU018,升级款-银色,ST018,数码电器,手机配件,支架,桌面支架,1,29.90,29.90,23.50,23.36,0.00,2.56,2.24,1.60,0.00,0.14,0.00,0.00,0.00,0.00,,,换货,山东省,青岛,APP-iOS,是,否,否,,微信支付,否,,,否,否,否,否,否,否,圆通速递,YT13071464753,派送中,
2705000230,已取消,2026-04-16 22:15:02,,,2026-04-16 21:03:08,2026-04-18,夏季冰丝凉席三件套,PD00001,SP00001,SKU002,1.8m床-灰色,SKU002,1.8m床-灰色,ST002,家居生活,床上用品,凉席,冰丝凉席,5,109.00,545.00,441.12,438.47,0.00,41.55,36.36,25.97,0.00,2.65,0.00,0.00,0.00,0.00,,,,上海市,上海,网页,否,否,否,,多多支付,否,,,否,否,否,否,否,否,申通快递,YT64656737308,,
2705000288,待发货,2026-04-16 22:29:06,2026-04-18 13:14:36,2026-04-22,2026-04-16 17:59:06,2026-04-18,男士运动休闲鞋透气款,PD00005,SP00005,SKU010,39码-黑色,SKU010,39码-黑色,ST010,运动户外,运动鞋服,运动鞋,跑步鞋,3,119.00,357.00,272.69,271.05,0.00,33.72,29.51,21.08,0.00,1.64,0.00,0.00,0.00,0.00,,,,河北省,石家庄,APP-Android,否,否,否,,支付宝,否,,,否,否,否,否,否,否,顺丰速运,YT85084656286,运输中,
2705000313,已取消,2026-04-17 00:44:45,,,2026-04-17 18:48:23,2026-04-19,女士防晒衣轻薄透气,PD00006,SP00006,SKU014,L码-粉色,SKU014,L码-粉色,ST014,服饰内衣,女装,外套,防晒衣,1,69.00,69.00,59.26,58.90,0.00,2.52,2.20,1.57,3.45,0.36,0.00,0.00,0.00,0.00,,,,江苏省,南京,H5,否,否,否,,支付宝,否,,,否,否,否,否,否,否,中通快递,YT60236834565,,
2705000308,已签收,2026-04-17 03:44:12,2026-04-20 02:33:22,2026-04-26,2026-04-17 06:09:38,2026-04-19,女士防晒衣轻薄透气,PD00006,SP00006,SKU014,L码-粉色,SKU014,L码-粉色,ST014,服饰内衣,女装,外套,防晒衣,1,69.00,69.00,56.15,55.81,0.00,5.14,4.50,3.21,0.00,0.34,0.00,0.00,0.00,0.00,,,,上海市,上海,网页,否,否,否,,微信支付,否,,,否,否,否,否,否,否,申通快递,YT88043301663,运输中,
2705000315,已签收,2026-04-17 05:25:29,2026-04-18 17:35:38,2026-04-23,2026-04-17 20:23:03,2026-04-19,有机红枣夹核桃500g,PD00007,SP00007,SKU015,500g袋装,SKU015,500g袋装,ST015,食品生鲜,坚果零食,红枣,夹心红枣,1,39.00,39.00,28.82,20.65,8.00,3.29,2.88,2.06,1.95,0.17,0.00,0.00,0.00,0.00,,,,湖北省,武汉,H5,否,否,否,,微信支付,否,,,否,否,否,否,否,否,中通快递,YT66503962653,运输中,
2705000171,已付款,2026-04-17 11:19:55,2026-04-19 22:09:34,2026-04-26,2026-04-17 17:05:57,2026-04-19,女士防晒衣轻薄透气,PD00006,SP00006,SKU014,L码-粉色,SKU014,L码-粉色,ST014,服饰内衣,女装,外套,防晒衣,5,69.00,345.00,281.60,278.78,0.00,25.36,22.19,15.85,0.00,2.82,0.00,0.00,0.00,0.00,,,,北京市,北京,网页,否,否,否,,支付宝,否,,,否,否,否,否,否,是,申通快递,YT73722804208,运输中,
2705000351,已完成,2026-04-17 11:49:38,2026-04-18 15:35:15,2026-04-19,2026-04-17 00:36:15,2026-04-19,儿童益智积木拼装玩具,PD00003,SP00003,SKU006,大颗粒100粒,SKU006,大颗粒100粒,ST006,母婴玩具,益智玩具,积木,大颗粒积木,5,59.00,295.00,279.22,277.54,0.00,0.41,0.36,0.26,14.75,1.68,0.00,0.00,0.00,195.06,不喜欢/效果不好,仅退款,退款成功,上海市,上海,APP-iOS,否,否,否,,微信支付,否,,,否,否,否,否,否,否,中通快递,YT73124562348,运输中,
2705000228,已完成,2026-04-17 12:56:51,2026-04-19 13:14:51,2026-04-22,2026-04-17 00:35:39,2026-04-19,夏季冰丝凉席三件套,PD00001,SP00001,SKU003,1.5m床-蓝色,SKU003,1.5m床-蓝色,ST003,家居生活,床上用品,凉席,冰丝凉席,1,89.00,89.00,79.35,78.87,0.00,3.86,3.38,2.41,0.00,0.48,0.00,0.00,0.00,0.00,,,,云南省,昆明,小程序,否,否,否,,花呗分期,否,,买家,是,否,否,否,否,否,申通快递,YT16179819393,运输中,
2705000122,已退款,2026-04-17 14:45:03,2026-04-20 09:41:50,2026-04-23,2026-04-17 00:23:35,2026-04-19,夏季冰丝凉席三件套,PD00001,SP00001,SKU002,1.8m床-灰色,SKU002,1.8m床-灰色,ST002,家居生活,床上用品,凉席,冰丝凉席,2,109.00,218.00,200.45,199.25,0.00,7.02,6.14,4.39,0.00,1.20,0.00,0.00,0.00,69.15,七天无理由退货,退货退款,退款成功,福建省,厦门,H5,否,否,否,,多多支付,否,,,否,否,否,是,否,否,韵达快递,YT65927058496,派送中,
2705000147,已发货,2026-04-17 17:00:38,2026-04-18 01:28:01,2026-04-22,2026-04-17 21:47:26,2026-04-19,桌面手机支架可折叠,PD00008,SP00008,SKU018,升级款-银色,SKU018,升级款-银色,ST018,数码电器,手机配件,支架,桌面支架,1,29.90,29.90,28.95,28.78,0.00,0.38,0.33,0.24,0.00,0.17,0.00,0.00,0.00,0.00,,,,浙江省,杭州,小程序,否,否,否,,微信支付,否,,商家,否,否,否,否,否,否,圆通速递,YT70568141893,运输中,
2705000039,已发货,2026-04-17 20:54:53,2026-04-20 07:16:40,2026-04-22,2026-04-17 07:15:04,2026-04-19,不锈钢保温杯大容量,PD00004,SP00004,SKU009,800ml-银色,SKU009,800ml-银色,ST009,家居生活,餐饮用具,保温杯,不锈钢保温杯,2,65.00,130.00,120.81,120.09,0.00,1.08,0.94,0.67,6.50,0.72,42.17,0.00,0.00,0.00,,,,辽宁省,沈阳,APP-Android,否,否,否,,微信支付,否,,,否,否,是,否,否,否,申通快递,YT18464284693,运输中,
2705000459,已签收,2026-04-17 22:27:20,2026-04-20 02:44:38,2026-04-21,2026-04-17 09:39:52,2026-04-19,无线蓝牙耳机Pro版,PD00002,SP00002,SKU005,白色降噪版,SKU005,白色降噪版,ST005,数码电器,影音设备,耳机,无线耳机,1,189.00,189.00,172.17,171.14,0.00,6.73,5.89,4.21,0.00,1.03,0.00,0.00,0.00,0.00,,,,北京市,北京,APP-Android,是,否,否,,支付宝,否,,,否,否,否,否,否,否,韵达快递,YT93559293908,运输中,
2705000465,已退款,2026-04-18 03:18:25,2026-04-20 00:24:24,2026-04-26,2026-04-18 22:00:37,2026-04-20,无线蓝牙耳机Pro版,PD00002,SP00002,SKU004,黑色标准版,SKU004,黑色标准版,ST004,数码电器,影音设备,耳机,无线耳机,1,129.00,129.00,104.68,104.05,0.00,7.15,6.25,4.47,6.45,0.63,0.00,0.00,0.00,70.41,不喜欢/效果不好,退货退款,退款成功,陕西省,西安,APP-iOS,是,否,否,,支付宝,否,12,,否,否,否,否,否,否,中通快递,YT91723542496,运输中,
2705000406,已付款,2026-04-18 06:20:44,2026-04-19 07:03:33,2026-04-25,2026-04-18 08:28:07,2026-04-20,男士运动休闲鞋透气款,PD00005,SP00005,SKU010,39码-黑色,SKU010,39码-黑色,ST010,运动户外,运动鞋服,运动鞋,跑步鞋,2,119.00,238.00,226.56,225.20,0.00,4.58,4.00,2.86,0.00,1.36,0.00,0.00,0.00,0.00,,,,河北省,石家庄,网页,否,否,否,,微信支付,否,,,否,否,否,否,否,否,申通快递,YT29676722198,运输中,
2705000022,已发货,2026-04-18 07:21:37,2026-04-21 06:28:06,2026-04-26,2026-04-18 09:14:09,2026-04-20,儿童益智积木拼装玩具,PD00003,SP00003,SKU007,大颗粒200粒,SKU007,大颗粒200粒,ST007,母婴玩具,益智玩具,积木,大颗粒积木,1,99.00,99.00,96.15,95.57,0.00,1.14,1.00,0.71,0.00,0.58,0.00,0.00,0.00,0.00,,,,河南省,郑州,APP-Android,否,否,否,,微信支付,否,,买家,否,否,否,否,否,否,顺丰速运,YT14469742445,运输中,
2705000329,已取消,2026-04-18 10:44:43,,,2026-04-18 12:11:15,2026-04-20,有机红枣夹核桃500g,PD00007,SP00007,SKU016,1000g礼盒,SKU016,1000g礼盒,ST016,食品生鲜,坚果零食,红枣,夹心红枣,3,69.00,207.00,177.60,176.53,0.00,7.62,6.67,4.76,10.35,1.07,0.00,0.00,0.00,0.00,,,,湖北省,武汉,H5,否,否,是,万象城店,多多支付,否,,,否,否,否,否,否,否,圆通速递,YT78837017969,,
2705000102,已付款,2026-04-18 12:14:45,2026-04-20 20:35:02,2026-04-26,2026-04-18 07:13:54,2026-04-20,夏季冰丝凉席三件套,PD00001,SP00001,SKU003,1.5m床-蓝色,SKU003,1.5m床-蓝色,ST003,家居生活,床上用品,凉席,冰丝凉席,5,89.00,445.00,360.33,358.17,0.00,24.97,21.85,15.60,22.25,2.16,0.00,0.00,0.00,0.00,,,,天津市,天津,H5,否,否,否,,微信支付,否,,买家,否,否,否,否,否,否,申通快递,YT73618260676,运输中,
2705000145,已完成,2026-04-18 13:16:27,2026-04-21 19:25:59,2026-04-24,2026-04-18 22:46:07,2026-04-20,桌面手机支架可折叠,PD00008,SP00008,SKU018,升级款-银色,SKU018,升级款-银色,ST018,数码电器,手机配件,支架,桌面支架,1,29.90,29.90,26.05,25.89,0.00,0.94,0.82,0.59,1.50,0.16,0.00,0.00,0.00,0.00,,,,广东省,广州,APP-Android,否,否,否,,花呗分期,否,,,否,否,否,否,否,否,邮政快递,YT41615958586,已签收,
2705000269,已完成,2026-04-18 15:18:38,2026-04-19 12:37:22,2026-04-22,2026-04-18 07:33:32,2026-04-20,夏季冰丝凉席三件套,PD00001,SP00001,SKU003,1.5m床-蓝色,SKU003,1.5m床-蓝色,ST003,家居生活,床上用品,凉席,冰丝凉席,5,89.00,445.00,418.07,415.56,0.00,1.87,1.64,1.17,22.25,2.51,0.00,0.00,0.00,0.00,,,,江苏省,南京,H5,否,是,否,,花呗分期,否,,,否,否,否,否,否,否,申通快递,YT39611304386,派送中,
2705000219,已签收,2026-04-18 16:39:31,2026-04-21 06:09:06,2026-04-23,2026-04-18 21:18:57,2026-04-20,桌面手机支架可折叠,PD00008,SP00008,SKU018,升级款-银色,SKU018,升级款-银色,ST018,数码电器,手机配件,支架,桌面支架,2,29.90,59.80,56.20,55.86,0.00,1.44,1.26,0.90,0.00,0.34,0.00,0.00,0.00,0.00,,,,湖南省,长沙,网页,否,否,否,,多多支付,否,,,否,否,否,否,否,否,韵达快递,YT87671618387,运输中,集运
2705000482,已退款,2026-04-19 01:23:03,2026-04-20 14:03:05,2026-04-24,2026-04-19 05:52:21,2026-04-21,儿童益智积木拼装玩具,PD00003,SP00003,SKU006,大颗粒100粒,SKU006,大颗粒100粒,ST006,母婴玩具,益智玩具,积木,大颗粒积木,2,59.00,118.00,88.64,88.11,0.00,9.38,8.21,5.87,5.90,0.53,0.00,0.00,0.00,53.77,不喜欢/效果不好,退货退款,退款成功,云南省,昆明,APP-Android,否,否,是,王府井店,多多支付,否,,,否,否,否,否,否,否,顺丰速运,YT13966289335,派送中,
2705000047,已退款,2026-04-19 03:49:56,2026-04-20 23:27:30,2026-04-26,2026-04-19 00:30:41,2026-04-21,女士防晒衣轻薄透气,PD00006,SP00006,SKU014,L码-粉色,SKU014,L码-粉色,ST014,服饰内衣,女装,外套,防晒衣,1,69.00,69.00,53.16,52.84,0.00,6.34,5.54,3.96,0.00,0.32,0.00,0.00,0.00,29.90,收到商品破损,退货退款,退货退款,广东省,广州,APP-Android,否,否,否,,多多支付,否,,商家,否,否,否,否,是,否,圆通速递,YT38822930604,已签收,
2705000377,已完成,2026-04-19 04:17:28,2026-04-20 13:16:49,2026-04-22,2026-04-19 13:17:47,2026-04-21,男士运动休闲鞋透气款,PD00005,SP00005,SKU011,40码-黑色,SKU011,40码-黑色,ST011,运动户外,运动鞋服,运动鞋,跑步鞋,5,119.00,595.00,530.22,527.04,0.00,14.01,12.26,8.76,29.75,3.18,0.00,0.00,0.00,0.00,,,,湖北省,武汉,APP-Android,否,否,否,,花呗分期,否,,,否,否,否,否,否,否,圆通速递,YT32589492497,运输中,
2705000136,已发货,2026-04-19 04:36:30,2026-04-20 12:31:14,2026-04-25,2026-04-19 17:39:29,2026-04-21,不锈钢保温杯大容量,PD00004,SP00004,SKU009,800ml-银色,SKU009,800ml-银色,ST009,家居生活,餐饮用具,保温杯,不锈钢保温杯,2,65.00,130.00,102.90,102.28,0.00,8.24,7.21,5.15,6.50,0.62,0.00,0.00,0.00,0.00,,,,广西,南宁,APP-Android,否,否,否,,多多支付,否,,,否,否,否,否,否,是,圆通速递,YT73193231462,运输中,
2705000010,已签收,2026-04-19 15:44:20,2026-04-19 05:43:58,2026-04-20,2026-04-19 16:01:11,2026-04-21,女士防晒衣轻薄透气,PD00006,SP00006,SKU013,M码-浅蓝,SKU013,M码-浅蓝,ST013,服饰内衣,女装,外套,防晒衣,2,69.00,138.00,137.20,136.38,0.00,0.32,0.28,0.20,0.00,0.82,0.00,0.00,0.00,0.00,,,,北京市,北京,小程序,否,否,否,,花呗分期,否,3,,否,否,否,否,否,否,邮政快递,YT21794004217,派送中,
2705000155,已完成,2026-04-19 17:41:24,2026-04-21 20:40:17,2026-04-23,2026-04-19 11:49:03,2026-04-21,女士防晒衣轻薄透气,PD00006,SP00006,SKU014,L码-粉色,SKU014,L码-粉色,ST014,服饰内衣,女装,外套,防晒衣,5,69.00,345.00,305.19,303.36,0.00,9.02,7.90,5.64,17.25,1.83,0.00,0.00,0.00,0.00,,,,江西省,南昌,APP-Android,否,否,否,,微信支付,否,,,否,否,否,否,否,否,圆通速递,YT25853393015,运输中,
2705000257,已完成,2026-04-19 18:09:36,2026-04-20 16:56:18,2026-04-26,2026-04-19 16:27:55,2026-04-21,夏季冰丝凉席三件套,PD00001,SP00001,SKU003,1.5m床-蓝色,SKU003,1.5m床-蓝色,ST003,家居生活,床上用品,凉席,冰丝凉席,3,89.00,267.00,225.75,223.49,0.00,16.50,14.44,10.31,0.00,2.26,0.00,33.51,0.00,0.00,,,,福建省,厦门,小程序,否,否,否,,支付宝,否,3,,否,否,否,否,否,否,中通快递,YT21492063737,运输中,
2705000290,已付款,2026-04-19 19:20:50,2026-04-21 13:23:51,2026-04-26,2026-04-19 03:06:09,2026-04-21,儿童益智积木拼装玩具,PD00003,SP00003,SKU006,大颗粒100粒,SKU006,大颗粒100粒,ST006,母婴玩具,益智玩具,积木,大颗粒积木,1,59.00,59.00,48.42,48.13,0.00,4.23,3.70,2.65,0.00,0.29,0.00,0.00,0.00,0.00,,,,天津市,天津,APP-Android,否,否,否,,微信支付,否,,,否,否,否,否,否,否,中通快递,YT81512502339,运输中,
2705000249,待发货,2026-04-19 19:47:01,2026-04-20 21:46:54,2026-04-21,2026-04-19 09:01:43,2026-04-21,桌面手机支架可折叠,PD00008,SP00008,SKU018,升级款-银色,SKU018,升级款-银色,ST018,数码电器,手机配件,支架,桌面支架,1,29.90,29.90,23.93,9.79,14.00,2.39,2.09,1.49,0.00,0.14,0.00,0.00,0.00,0.00,,,,江苏省,南京,H5,否,否,是,万象城店,支付宝,否,12,,否,否,否,否,否,否,圆通速递,YT15537046953,运输中,
2705000060,已取消,2026-04-19 21:30:13,,,2026-04-19 19:26:51,2026-04-21,女士防晒衣轻薄透气,PD00006,SP00006,SKU013,M码-浅蓝,SKU013,M码-浅蓝,ST013,服饰内衣,女装,外套,防晒衣,5,69.00,345.00,270.62,267.91,0.00,22.85,20.00,14.28,17.25,2.71,0.00,0.00,0.00,0.00,,,,北京市,北京,H5,否,否,否,,花呗分期,否,6,,否,否,否,否,否,是,邮政快递,YT69483528765,,
2705000344,已付款,2026-04-20 01:28:20,2026-04-22 06:13:01,2026-04-25,2026-04-20 15:50:28,2026-04-22,儿童益智积木拼装玩具,PD00003,SP00003,SKU007,大颗粒200粒,SKU007,大颗粒200粒,ST007,母婴玩具,益智玩具,积木,大颗粒积木,1,99.00,99.00,96.77,96.19,0.00,0.89,0.78,0.56,0.00,0.58,0.00,0.00,0.00,0.00,,,,浙江省,杭州,小程序,否,否,否,,花呗分期,否,,,否,否,否,否,否,否,邮政快递,YT88974526021,运输中,
2705000212,待发货,2026-04-20 02:34:46,2026-04-21 22:29:20,2026-04-27,2026-04-20 04:31:38,2026-04-22,夏季冰丝凉席三件套,PD00001,SP00001,SKU002,1.8m床-灰色,SKU002,1.8m床-灰色,ST002,家居生活,床上用品,凉席,冰丝凉席,1,109.00,109.00,82.53,82.03,0.00,10.59,9.26,6.62,0.00,0.50,0.00,32.48,0.00,0.00,,,,山东省,青岛,APP-Android,否,是,否,,花呗分期,否,,,否,否,否,否,否,是,极兔速递,YT16458051712,运输中,
2705000411,已签收,2026-04-20 03:18:26,2026-04-20 05:04:34,2026-04-23,2026-04-20 00:44:40,2026-04-22,女士防晒衣轻薄透气,PD00006,SP00006,SKU013,M码-浅蓝,SKU013,M码-浅蓝,ST013,服饰内衣,女装,外套,防晒衣,1,69.00,69.00,58.84,58.49,0.00,4.06,3.56,2.54,0.00,0.35,0.00,0.00,0.00,0.00,,,,湖南省,长沙,网页,否,否,否,,花呗分期,否,,,否,否,是,否,否,否,邮政快递,YT80306967520,运输中,集运
2705000416,已完成,2026-04-20 05:21:11,2026-04-20 15:54:50,2026-04-22,2026-04-20 23:37:55,2026-04-22,桌面手机支架可折叠,PD00008,SP00008,SKU018,升级款-银色,SKU018,升级款-银色,ST018,数码电器,手机配件,支架,桌面支架,2,29.90,59.80,56.80,56.46,0.00,1.20,1.05,0.75,0.00,0.34,0.00,0.00,0.00,0.00,,,,上海市,上海,网页,否,否,否,,微信支付,否,,,否,否,否,否,否,是,圆通速递,YT65392096302,运输中,
2705000473,已取消,2026-04-20 05:25:41,,,2026-04-20 20:32:50,2026-04-22,儿童益智积木拼装玩具,PD00003,SP00003,SKU007,大颗粒200粒,SKU007,大颗粒200粒,ST007,母婴玩具,益智玩具,积木,大颗粒积木,3,99.00,297.00,266.00,264.40,0.00,12.40,10.85,7.75,0.00,1.60,0.00,0.00,0.00,0.00,,,,四川省,成都,APP-iOS,是,否,否,,花呗分期,否,12,,否,否,否,否,否,否,韵达快递,YT95196617869,,
2705000403,已取消,2026-04-20 08:00:44,,,2026-04-20 14:07:18,2026-04-22,有机红枣夹核桃500g,PD00007,SP00007,SKU016,1000g礼盒,SKU016,1000g礼盒,ST016,食品生鲜,坚果零食,红枣,夹心红枣,2,69.00,138.00,122.42,121.69,0.00,3.47,3.04,2.17,6.90,0.73,0.00,0.00,0.00,0.00,,,,重庆市,重庆,H5,否,否,否,,微信支付,否,12,,否,否,否,否,否,是,中通快递,YT69010425587,,
2705000287,已付款,2026-04-20 08:01:29,2026-04-20 13:29:47,2026-04-21,2026-04-20 03:27:08,2026-04-22,儿童益智积木拼装玩具,PD00003,SP00003,SKU007,大颗粒200粒,SKU007,大颗粒200粒,ST007,母婴玩具,益智玩具,积木,大颗粒积木,1,99.00,99.00,81.81,81.32,0.00,4.90,4.28,3.06,4.95,0.49,0.00,0.00,0.00,0.00,,,,河南省,郑州,H5,否,否,否,,支付宝,否,,,否,否,否,否,否,否,中通快递,YT53479739707,派送中,
2705000407,已退款,2026-04-20 08:31:19,2026-04-22 15:17:49,2026-04-23,2026-04-20 03:50:35,2026-04-22,无线蓝牙耳机Pro版,PD00002,SP00002,SKU005,白色降噪版,SKU005,白色降噪版,ST005,数码电器,影音设备,耳机,无线耳机,1,189.00,189.00,140.78,139.94,0.00,15.51,13.57,9.69,9.45,0.84,0.00,0.00,0.00,122.46,七天无理由退货,仅退款,退货退款,重庆市,重庆,APP-Android,否,否,否,,支付宝,否,,,是,否,否,否,否,否,极兔速递,YT14207600759,运输中,
2705000354,已取消,2026-04-20 21:16:15,,,2026-04-20 03:17:07,2026-04-22,桌面手机支架可折叠,PD00008,SP00008,SKU017,基础款-黑色,SKU017,基础款-黑色,ST017,数码电器,手机配件,支架,桌面支架,1,19.90,19.90,15.65,15.56,0.00,1.70,1.49,1.06,0.00,0.09,0.00,0.00,0.00,0.00,,,,云南省,昆明,网页,否,否,否,,支付宝,否,6,,否,否,否,否,是,否,极兔速递,YT45921776306,,
2705000185,已签收,2026-04-20 21:27:12,2026-04-22 10:51:06,2026-04-28,2026-04-20 17:49:58,2026-04-22,不锈钢保温杯大容量,PD00004,SP00004,SKU008,500ml-黑色,SKU008,500ml-黑色,ST008,家居生活,餐饮用具,保温杯,不锈钢保温杯,1,45.00,45.00,37.07,36.85,0.00,2.27,1.99,1.42,2.25,0.22,0.00,0.00,0.00,0.00,,,,湖南省,长沙,APP-iOS,否,否,否,,多多支付,否,,,否,否,否,否,否,是,申通快递,YT89929331422,运输中,转运
2705000401,已发货,2026-04-21 10:39:43,2026-04-24 08:55:07,2026-04-25,2026-04-21 06:35:56,2026-04-23,男士运动休闲鞋透气款,PD00005,SP00005,SKU012,41码-白色,SKU012,41码-白色,ST012,运动户外,运动鞋服,运动鞋,跑步鞋,1,119.00,119.00,114.28,113.59,0.00,1.89,1.65,1.18,0.00,0.69,0.00,0.00,0.00,0.00,,,,陕西省,西安,小程序,否,否,否,,多多支付,否,,,否,否,否,否,否,否,申通快递,YT17398129426,运输中,
2705000158,已完成,2026-04-21 11:24:47,2026-04-23 10:38:11,2026-04-29,2026-04-21 05:41:18,2026-04-23,无线蓝牙耳机Pro版,PD00002,SP00002,SKU004,黑色标准版,SKU004,黑色标准版,ST004,数码电器,影音设备,耳机,无线耳机,5,129.00,645.00,632.23,628.44,0.00,5.11,4.47,3.19,0.00,3.79,0.00,0.00,0.00,0.00,,,,江苏省,南京,小程序,否,否,否,,支付宝,否,,买家,否,否,否,否,否,否,邮政快递,YT16561393644,派送中,
2705000156,已完成,2026-04-21 12:00:05,2026-04-21 12:53:19,2026-04-24,2026-04-21 10:31:35,2026-04-23,女士防晒衣轻薄透气,PD00006,SP00006,SKU013,M码-浅蓝,SKU013,M码-浅蓝,ST013,服饰内衣,女装,外套,防晒衣,1,69.00,69.00,60.68,60.32,0.00,3.33,2.91,2.08,0.00,0.36,0.00,0.00,0.00,0.00,,,,辽宁省,沈阳,H5,否,否,否,,微信支付,否,,,否,否,否,否,否,否,申通快递,YT58296964280,运输中,
2705000072,已发货,2026-04-21 17:58:57,2026-04-23 00:12:02,2026-04-29,2026-04-21 05:30:19,2026-04-23,不锈钢保温杯大容量,PD00004,SP00004,SKU008,500ml-黑色,SKU008,500ml-黑色,ST008,家居生活,餐饮用具,保温杯,不锈钢保温杯,1,45.00,45.00,37.83,37.60,0.00,2.87,2.51,1.79,0.00,0.23,0.00,0.00,0.00,19.72,七天无理由退货,仅退款,退款成功,天津市,天津,小程序,否,否,否,,多多支付,否,3,,是,否,否,否,否,是,圆通速递,YT85523400549,运输中,
2705000305,已退款,2026-04-21 18:05:06,2026-04-21 00:45:54,2026-04-28,2026-04-21 11:52:39,2026-04-23,夏季冰丝凉席三件套,PD00001,SP00001,SKU002,1.8m床-灰色,SKU002,1.8m床-灰色,ST002,家居生活,床上用品,凉席,冰丝凉席,3,109.00,327.00,275.02,273.37,0.00,20.79,18.19,13.00,0.00,1.65,0.00,0.00,0.00,85.76,商品与描述不符,仅退款,退货退款,重庆市,重庆,小程序,否,否,否,,多多支付,否,,,是,否,是,否,否,否,中通快递,YT67770944188,运输中,转运
2705000074,已签收,2026-04-21 23:27:14,2026-04-22 01:01:09,2026-04-25,2026-04-21 11:53:49,2026-04-23,桌面手机支架可折叠,PD00008,SP00008,SKU017,基础款-黑色,SKU017,基础款-黑色,ST017,数码电器,手机配件,支架,桌面支架,2,19.90,39.80,36.45,36.23,0.00,1.34,1.17,0.84,0.00,0.22,0.00,0.00,0.00,0.00,,,,浙江省,杭州,小程序,否,否,否,,多多支付,否,,,否,是,否,否,否,否,顺丰速运,YT88041306966,派送中,
2705000415,已签收,2026-04-22 01:20:23,2026-04-22 04:16:43,2026-04-26,2026-04-22 22:57:04,2026-04-24,桌面手机支架可折叠,PD00008,SP00008,SKU018,升级款-银色,SKU018,升级款-银色,ST018,数码电器,手机配件,支架,桌面支架,3,29.90,89.70,70.83,70.12,0.00,7.55,6.60,4.72,0.00,0.71,0.00,0.00,0.00,0.00,,,,天津市,天津,网页,是,否,否,,多多支付,否,,,否,否,否,否,否,否,圆通速递,YT32331557216,已签收,
